,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
75,Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,1041134,/title/tt0112573/
76,Das Boot,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,252739,/title/tt0082096/
77,Avengers: Endgame,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.3,1136424,/title/tt4154796/
78,Mononoke-hime,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.3,397591,/title/tt0119698/
79,Once Upon a Time in America,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,354448,/title/tt0087843/
80,Good Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,976474,/title/tt0119217/
81,Kimi no Na wa,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,271925,/title/tt5311514/
82,Requiem for a Dream,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,846220,/title/tt0180093/
83,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,402881,/title/tt1187043/
84,Singin' in the Rain,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,244767,/title/tt0045152/
85,Toy Story 3,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3,839603,/title/tt0435761/
86,Tengoku to jigoku,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3,45982,/title/tt0057565/
87,Capharnaüm,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3,91288,/title/tt8267604/
88,Star Wars: Episode VI - Return of the Jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,1057737,/title/tt0086190/
89,Eternal Sunshine of the Spotless Mind,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,1012059,/title/tt0338013/
90,2001: A Space Odyssey,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,672618,/title/tt0062622/
91,Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,1022672,/title/tt0105236/
92,Jagten,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,333382,/title/tt2106476/
93,Idi i smotri,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.3,81772,/title/tt0091251/
94,Top Gun: Maverick,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.3,494823,/title/tt1745960/
95,Citizen Kane,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,444644,/title/tt0033467/
96,Lawrence of Arabia,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3,296126,/title/tt0056172/
97,M - Eine Stadt sucht einen Mörder,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,159551,/title/tt0022100/
98,North by Northwest,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.2,330489,/title/tt0053125/
99, Vertigo,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.2,404934,/title/tt0052357/
100,Le fabuleux destin d'Amélie Poulain,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.2,759937,/title/tt0211915/
101,The Apartment,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,183617,/title/tt0053604/
102,Ikiru,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2,79810,/title/tt0044741/
103,A Clockwork Orange,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2,833751,/title/tt0066921/
104,Double Indemnity,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2,158916,/title/tt0036775/
105,Full Metal Jacket,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2,746154,/title/tt0093058/
106,Scarface,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,845797,/title/tt0086250/
107,Hamilton,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.2,96407,/title/tt8503618/
108,To Kill a Mockingbird,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2,318573,/title/tt0056592/
109,Incendies,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,179871,/title/tt1255953/
110,The Sting,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2,264852,/title/tt0070735/
111,Heat,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,658947,/title/tt0113277/
112,Up,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,1048067,/title/tt1049413/
113,Jodaeiye Nader az Simin,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,246761,/title/tt1832382/
114,Taxi Driver,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2,838046,/title/tt0075314/
115,Metropolis,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,175971,/title/tt0017136/
116,LA Confidential,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,585943,/title/tt0119488/
117,Die Hard,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,888971,/title/tt0095016/
